Class,Precision,Recall,F1-Score,True Positives,False Positives,False Negatives
RIDVAN DİLMEN,0.5102040816326531,0.5,0.5050505050505051,25,24,25
AHMET ÇAKAR,0.5714285714285714,0.32,0.41025641025641024,16,12,34
MELTEM GÜRLE,0.09923664122137404,0.52,0.16666666666666666,26,236,24
NEŞE YAŞIN,0.08135593220338982,0.48,0.13913043478260867,24,271,26
MEHMET ALİ BİRAND,0.43478260869565216,0.2,0.273972602739726,10,13,40
ALİ SİRMEN,0.5,0.06,0.10714285714285712,3,3,47
ATAOL BEHRAMOĞLU,0.06060606060606061,0.04,0.048192771084337345,2,31,48
REHA MUHTAR,0.07107843137254902,0.58,0.12663755458515283,29,379,21
ATİLLA DORSAY,1.0,0.44,0.6111111111111112,22,0,28
AYKAN SEVER,0.2833333333333333,0.34,0.30909090909090914,17,43,33
AZİZ ÜSTEL,0.4,0.04,0.07272727272727272,2,3,48
HASAN PULUR,0.5,0.02,0.038461538461538464,1,1,49
CAN ATAKLI,0.3333333333333333,0.3,0.3157894736842105,15,30,35
DENİZ GÖKÇE,0.9736842105263158,0.74,0.8409090909090909,37,1,13
EMRE KONGAR,0.125,0.04,0.06060606060606061,2,14,48
GÖZDE BEDELOĞLU,0.5,0.08,0.13793103448275865,4,4,46
UFUK BOZKIR,0.2537313432835821,0.34,0.2905982905982906,17,50,33
HİKMET ÇETİNKAYA,1.0,0.1,0.18181818181818182,5,0,45
MEHMET DEMİRKOL,0.42857142857142855,0.12,0.1875,6,8,44
ÖZGE BAŞAK TANELİ,0.42857142857142855,0.06,0.10526315789473684,3,4,47
NAZAN BEKİROĞLU,0.06666666666666667,0.02,0.030769230769230767,1,14,49
MERYEM KORAY,0.375,0.18,0.24324324324324328,9,15,41
MÜMTAZ SOYSAL,0.5,0.02,0.038461538461538464,1,1,49
NAZIM ALPMAN,0.5,0.02,0.038461538461538464,1,1,49
NEDİM HAZAR,0.42857142857142855,0.06,0.10526315789473684,3,4,47
OKAY KARACAN,0.4782608695652174,0.22,0.30136986301369867,11,12,39
RUHAT MENGİ,0.8235294117647058,0.28,0.417910447761194,14,3,36
SELİM İLERİ,0.3333333333333333,0.02,0.03773584905660377,1,2,49
TARHAN ERDEM,0.9230769230769231,0.24,0.38095238095238093,12,1,38
YAŞAR SEYMAN,1.0,0.02,0.0392156862745098,1,0,49
Macro Avg,0.4661118679252649,0.21333333333333335,0.21874129531937,-,-,-
Micro Avg,0.21333333333333335,0.21333333333333335,0.21333333333333337,-,-,-
