Class,Precision,Recall,F1-Score,True Positives,False Positives,False Negatives
AHMET ÇAKAR,0.6363636363636364,0.42,0.5060240963855421,21,12,29
RIDVAN DİLMEN,0.6041666666666666,0.58,0.5918367346938774,29,19,21
OKAY KARACAN,0.5,0.14,0.21875000000000003,7,7,43
MEHMET ALİ BİRAND,0.21052631578947367,0.08,0.11594202898550725,4,15,46
ALİ SİRMEN,0.6666666666666666,0.08,0.14285714285714285,4,2,46
MELTEM GÜRLE,0.08083140877598152,0.7,0.14492753623188406,35,398,15
AYKAN SEVER,0.2804878048780488,0.46,0.34848484848484856,23,59,27
ATAOL BEHRAMOĞLU,0.07407407407407407,0.04,0.051948051948051945,2,25,48
REHA MUHTAR,0.061971830985915494,0.44,0.10864197530864197,22,333,28
NEŞE YAŞIN,0.12149532710280374,0.52,0.196969696969697,26,188,24
ATİLLA DORSAY,0.9473684210526315,0.36,0.5217391304347826,18,1,32
EMRE KONGAR,0.0625,0.02,0.030303030303030304,1,15,49
AZİZ ÜSTEL,0.5,0.02,0.038461538461538464,1,1,49
CAN ATAKLI,0.41935483870967744,0.26,0.32098765432098764,13,18,37
DENİZ GÖKÇE,1.0,0.7,0.8235294117647058,35,0,15
GÖZDE BEDELOĞLU,0.3333333333333333,0.02,0.03773584905660377,1,2,49
ÖZGE BAŞAK TANELİ,0.3333333333333333,0.04,0.07142857142857142,2,4,48
HASAN PULUR,0.0,0.0,0.0,0,0,50
HİKMET ÇETİNKAYA,1.0,0.1,0.18181818181818182,5,0,45
MERYEM KORAY,0.4117647058823529,0.28,0.3333333333333333,14,20,36
MEHMET DEMİRKOL,0.7,0.14,0.23333333333333336,7,3,43
NAZAN BEKİROĞLU,0.23076923076923078,0.06,0.09523809523809523,3,10,47
MÜMTAZ SOYSAL,1.0,0.02,0.0392156862745098,1,0,49
NEDİM HAZAR,0.4,0.04,0.07272727272727272,2,3,48
NAZIM ALPMAN,0.0,0.0,0.0,0,1,50
RUHAT MENGİ,1.0,0.34,0.5074626865671642,17,0,33
SELİM İLERİ,0.0,0.0,0.0,0,1,50
UFUK BOZKIR,0.2033898305084746,0.24,0.22018348623853212,12,47,38
TARHAN ERDEM,1.0,0.2,0.33333333333333337,10,0,40
YAŞAR SEYMAN,1.0,0.02,0.0392156862745098,1,0,49
Macro Avg,0.4592799141630767,0.21066666666666667,0.2108809464257893,-,-,-
Micro Avg,0.21066666666666667,0.21066666666666667,0.21066666666666667,-,-,-
