,text,class
0,Fernando şunu belirtelim Galatasaray yerli yabancı transferlerini mükemmel Mesela kaleci Kritik anlarda maçı kurtaran adam Mesela emektar faydalı Gol gol ileride top mükemmel Üstelik attığı ilk gol yılın golleri arasına girebilecek metreden kalecinin üzerinden öyle bir vurdu maçın stratejisini Galatasaray lehine kimseyi kendi çapında iyi bir Üstelik saha hava şartları onların alışkın olduğu Ve maçın hemen başında mağlup duruma düşmüş olsalar özellikle ilk yarıda disiplini Ve önemli pozisyonlar Fakat Galatasaray pozisyon verse önce kaleci sonra oyuncuların panik yapmaması dengeyi Çünkü ilk yarıda yenecek bir şeyi berbat yarı kritik an ikinci golü bulduğu Çünkü böylesine dişli rakiplere karşı deplasmanda ikinci golü bulduğunuzda kozlar elinize Bu dakikadan sonra Sivas açısından yine kritik anlar Ama anlarda sahneye yine göbeğinde dengeli oynayan Ujfalusi Semih özellikle yılın transferi Muslera Bu dakikalardan sonra kontratak Galatasaray için gol gol pozisyonu futbol kamuoyu dün geceki maçı kazanamayacağını düşünüyordu rakipler için evdeki hesap çarşıya Eğer aynı Galatasaray iki hafta sonra kaybetmezse şampiyonluk için dev bir adımla ilerlemiş hakem Halis Kartlarını yerinde Özellikle hava toplarında Melo verdiği sarı kartlar İkinci yarıda yapılan harekette birçok kişi kırmızı kart beklerken hakemin kararı bence yine Tek tartışılacak pozisyon ilk yarıda bir yan topta sarılması ceza alanı içinde yere Bence ,AHMET ÇAKAR
1,Kopuk kopuk yarı bittiğinde herkes birbirine ilk devre beş olmadı Hatta birçok Fenerbahçeli iddiaya girmişlerdir Çünkü ilk yarıya iyi oynayan bir Fenerbahçe karşısında Mersin İdman Yurdu Süper Lig takımı sorduran bir rakip ilk yarıya bakıyoruz defansta ofansta şeyi mükemmele yakın Bienvenu bile yarıda gol takım arkadaşlarına pozisyon hazırlayan bir harika bir gol attı ağır ağır oynamaya çalışan Mersin yarıda sürklase Ve aynı Mersin defansta öylesine acemice hatalar yaptı bir Süper Lig takımı için asla kabul yarı fark bekleyenler büyük bir şaşkınlık İkinci yarının ilk dakikasına Mersin tek kale sihirli bir el değmiş maçı bırakmış mücadele etmeye İşte baskısı golü sonuç maçı GOL Fener oluyuruz birbirlerine Çünkü yenilecek bir birçok şeyi rezil Bu dakikadan sonra top bir kalede bir öbür kalede oynanmaya risk dolayısıyla pozisyon vermeye devam Asıl düşündüren oyunun belirli bölümlerinde oyundan tamamen kopuyor oynuyor Bunu son haftalarda maçlarda net Ama böyle kötü dönemler Önemli olan tür maçları Barış Şimşek bir pozisyon dışında Ama pozisyonda sonuca etki ilk golünde Bienvenu şutu çektiğinde Özer kalecinin hemen önündeydi görüş alanında olduğu için pasif ofsayt olarak düşünmek yanlış Dolayısıyla ilk golünde ofsayt pozisyonu ,AHMET ÇAKAR
2,Benim kılına bile Türk futbol tarihinin önemli Genel yıldır şike Ve bugünden itibaren Türk futbolu ilkesizlik kepazelik dönemine girmiş Tarihi futbolu oluşturan baronlar tarafından başta Fenerbahçe asırlık bir camianın onuruyla oynanmasına sadece saatler Şimdi birer birer Sayın Mehmet Ali hani oyun oynanırken kural Hani Türkiye Futbol Federasyonu Başkanı olduğunuz sürece maddenin kılına Bugün iddianamede sanık durumunda bulunanların takımları hangi adalet duygusuna uygun gelecek şekilde Genel oy futbolunu hale getiren hangi hakla birbirlerini kurtarmaya yönelik karara katkıda Bir ülkede üç amatör takım şike yaptılar küme düşürülmüşken Süper Lig kulüpleri Türkiye Futbol Federasyonu maddesinde Genel yetkileri Bugünkü toplantının konusu olan şike teşvik primi iddiası bulunan kulüplere uygulanması muhtemel yaptırımların değiştirilip değiştirilmemesinin görüşülmesi karara ifadesini buradaki yetki maddesinin hangisine Bundan sonra ilerleyen yıllarda gerek federasyon yetkilileri gerekse kulüpler hangi yüzle temiz düzgün futboldan Fenerbahçe idarecileri bangır bangır maddeye suçumuz varsa Madem düşme ihtimaliniz halde milyonlarca Euro verip almaya Yoksa bir kayıkçı kavgası kimseyi Herkesin ağzına birer lokma bal çalınıp hiçbir takımı küme düşürmeyip sözüm ona kaosu Ondan sonra zannediyorlar futbolumuzun marka değeri yükselmeye Bunların acıma duygusuyla kümede kalmış takımlara ilerleyen yıllarda üzücü pek yakıştırmalar Ve ondan sonra pek tabii Sayın Aydınlar ölene kadar Türk futbolunda tıpkı Rahşan Ecevit bugün oy Ve maddenin kılına bile Ama biliyorum bugün TFF Genel benim görüşüm Ama asıl trajikomik olanı Türk futbolu adına bundan böyle yapanın yaptığının yanına kar kaldığı bir dönem ,AHMET ÇAKAR
3,Maçın iki maçla ilgili iki insan üstelik ikisi futbolcu Biri teknik diğeri Yani Abdullah diğeri hakem Tolga Futbolda yazılı olmayan kurallar Mesela deplasmanda baskı altında oynuyorsanız mağlup değilseniz oyuncu değişikliklerini itinayla değişiklik hakkınız bittiğinde kalecinize bir olursa son dakikada galipken mağlup duruma İşte dün gece Şayet kaleci Mahmut sakatlanmasaydı maçı kolay kolay Kerim sakatlık nedeniyle Ama ikinci değişikliği yaparken dikkat etmesi Zira Popov zaman için sonucu değiştirebilecek bir O arkasından Dany değişmek zorunda kaldı Mahmut sakatlanınca bence maç Beşiktaş lehine Çünkü son dakikada ana kadar uyuyan birçok Beşiktaşlı futbolcular yaralı Sakat gördüler uykudan uyanıp maçı FUTBOLU BİLMİYOR yarıya bakıyoruz dağınık bir Beşiktaş kornerde markaj hatasından golü ikinci yarıda golü bulmalarına rağmen sahneye yine Beşiktaş kalecisi Cenk zamanlaması hatalıydı galibiyet golü Ne olduysa dakikalardan sonra Maçın sonlarında iyisi Almeida golünü attı beraberliği dakikadan sonra sahneye hakem Özkalfa kesinlikle futbolu değildir kartları yanlış İşte son dakikada hakem tarafından kontrolü kaybedilmiş bir maçta Beşiktaş son golünü ofsayt faulüyle ,AHMET ÇAKAR
4,Bu oyunla maç öncesi merak Acaba Galatasaray maçını kazanabilecek sadece rekor kırılacak maç geçilecek zor bir Ama baktığımızda kazanmayı hak etmediğini rahatlıkla yumuşak sağ Hem Sabri Kazım defansif ofansif olarak güven Bunu Ersun Yanal iyi görmüş kanada oyuncularını koymuş buradan pozisyon bulmayı sol kanadını büyük oranda istediği Orta pozisyon golü SANTRFORLA OLMUYOR biraz futbolu sevse önemli oyuncusu iyi niyet fedakarlığının yarısı onda olsa adından söz Dün gece etkisiz Bunda baş rolü genç stoperi Semih Semih hoş çocuk deneyimsizliği anlık hata Mesela dakikada bir hatasıyla önüne bıraktığı top gol olsa Galatasaray için uzun bir aradan sonra ilk tek santraforla oyuna Ama görünen strateji fazla yanına mutlaka bir yardımcı Mesela ikinci yarı alması doğru sonraki iyi Hatta ileri kalma şansı bile herkesin sevdiği güvendiği bir Oyuncuların saygısı Ceza alanında kollara çarpan pozisyonlarda penaltı beklentisi Hepsinde devam kararı Bence doğruyu ,AHMET ÇAKAR
5,önemli isimlerinden Şenes Erzik bir Türk Bu kurumlarda çeyrek yüzyılı aşkındır görev Kendisine büyük bir saygım sevgim Onun döneminde hakemlik yaptığımdan hiyerarşik olarak astı Sayın kendi adıma milyon Türk vatandaşı adına basit bir sorum Herhangi bir ülkede bir futbol federasyonunun ceza kurulu bir takım şike yaptı küme düşürmeyip önemli bir puan silmeyle UEFA FIFA uygulamaya karşı çıkar anda tam anlamıyla bir orta oyunu Futbolun neredeyse unsurları yalan dezenformasyonlarla şike sürecini manipüle edip kendilerini kurtarmaya Herkes topu başkasının üzerine Yukarıdaki sorunun yanıtı UEFA müdahale milyon el ele tutuşup desek bile UEFA kafamıza binecek Kimse Trabzonspor takım dışında başta Fenerbahçe diğer kulüplerin küme düşmesini tabii Aziz TFF madde zaman Kulüpler Birliği toplantılar Niye Sayın Aydınlar Perşembe günü UEFA görüşmeye TFF Genel Kurulu madde kesin değişmeyecekse bunlara gerek hayatının sonuna dek küme düşürmüş bir Fenerbahçeli Federasyon olarak anılmaktan hoşlanmayacağı Sayın seven bir insan olarak rahatlıkla söyleyebilirim kendisi hayatının sonuna dek yukarıdaki şike sürecini büyük bir eyyam aflarla Rahşan Ecevit misali bir sıfatla Nereden sonuçta acı çeken mutsuz olan ÖNCESİ NE sormak Ordu yolculuğu öncesi Aykut yoldan çevirip görüşmekteki aceleniz Bu işe aracı Neyin pazarlığını Belli konu konu önemli görüşmeyi dönüşüne TFF yetkililerinden hokkabaz medya mensuplarına kadar herkes pazarlıklar hesaplar Kimi siyasi erk kullanıp hukuki davalarını tuttuğu takımın başkanını kurtarmaya çalışıyor konu üzerinde sonra önemli açıklamalar kimi kendi camiasına etik topu federasyona atıp arkadan kulisler yapıyor maalesef halk rezilliği seyretmek zorunda asıl rezilliği büyük bir acıyla ben Geçenlerde Kulüpler Birliği toplantısında başkanları tanesini orada beyefendi oturup büyük saygı görürken Aziz olması yüreğimi Çünkü Aziz suçlandığı konulara baktığımızda başkanın yıllardır yaptıklarının yanında devede kulak olduğunu net ,AHMET ÇAKAR
6,Kara farkı yılların heyecanlı keyif veren maçını Top bir kaleye bir öbür kaleye gitti geldi Beşiktaş Ama pozisyonlara baktığımızda Beşiktaş kadar pozisyonu olduğunu Bireysel hatalar önemli pozisyonlar Mesela ilk gole baktığımızda Bursa defans oyuncusu topu eveledi Necip kaptı harika bir orta Belki hayatı boyunca yaptığı iyi iş ortalara ölümcül vuruşu Dün gece öyle Adeta havada asılı kaldı bir voleybolcu rahatlığıyla kafasıyla topu ağlara dakikadan sonra Bursa iyi bir kontratak taktiğiyle pozisyonlar Önce Turgay kaçırdı sonra benzer pozisyonda Batalla beraberliği Maç tam dengeye girmişti sahneye Edu Edu tuhaf bir Ağır tabii Kafa toplarında tabii Ama şurası bir gerçek ceza alanında gol vuruşlarında bir Pozisyonu buldu sol ayağını bir suikast silahı Dün ilk devrenin sonlarında attığı gol tam tip bir Açı kapalıydı buna rağmen müthiş bir gol vuruşu devre yine heyecanlı pozisyonlar Bursa beraberliği hatta maçı bile Ama oyunun sonlarında giren Mustafa Pektemek maçı GOLÜ VERMEDİ Özgür Yankaya başarılı maçlar sakin Ama dün sonuca etkili hatasını İlki yardımcıdan Rüştü topu çizgi üzerinde İlk anda çizgiyi geçmemişti yerdeki topu kucağına aldığında vücudu kale içinde olduğu için otomatik olarak topu içeri Yani pozisyon goldü yardımcı bunu İkinci hata bir duran topta Beşiktaş ceza alanı içinde yaptığı Bu bir penaltıydı tartışılabilir bir Bu yüzden hakeme fazla ,AHMET ÇAKAR
7,Fernando Muslera seyretmemiş birisi dün gece elini kolunu sallayarak üç puanı aldığını Oysa öyle Eğer dün gece Galatasaray bir kazaya uğramadıysa bunun önemli aktörü kaleci ilk Selçuk büyük bir hata topu Muslera golü Daha sonra Galatasaray golü buldu oyun insiyatifi tümüyle İşte dakikalarda sahneye yine kaleci Muslera Direkten dönen topu tamamlayan mutlak vuruşunu yine ilk yarıda oyun pozisyon yönünden sıkıntı çekiyordu bir kornerde sahneye Elmander Hemen akabinde yeni tranfseri stoper Mabiala kendini adeta attırırcasına faul yapınca ilk yarının sonunda maç KAZIM dün gecenin kahramanlarından bir Gollerini asist İnanılmaz saha elektriği arkadaşlarını maça konsantre Ujfalusi mutlaka defansın göbeğinde Bundan sağ bekte iyi manası Semih genç Yanında Ujfalusi olmayınca Galatasaray defans göbeğinden açık Ayrıca Kazım kötü oynarken çekilmez bir oyuncu görüntüsü Unutmasın artık Yiğit Gökoğlan yeri asla garanti yılki yerinde adeta yeller Bu gidişle kurtarmaları kolay Mustafa Kamil Abitoğlu başarılı bir maç yönetti diyecektik verdiği penaltıya Zira orada Karabüksporlu oyuncu hamle yaptı müdahalesi Elmander oyuncunun uzanmış ayağına ,AHMET ÇAKAR
8,Maçın adamı önemli bir maç Eğer maçı kazanabildiyse bir maçı Düşünebiliyor ilk devre rakip Gaziantepspor neredeyse maçı son vuruşlarda beceriksiz oldu soyunma odasına önde Ancak maçın adamı Kerim Zengin karşılaşmayı adeta hediye yarıda Aykut Kocaman doğru Caner sahaya sürüp hareketli bir orta saha yaratmaya Özellikle ilk yarı Fenerli oyuncuların üzerine ölü toprağı bir tek didinen Stoch İşte Stoch maçı kurtaran adam Önce beraberlik sonra maç boyu adeta küskünleri oynayan önüne attığı topla galibiyet golü şunu sormak Kerim Zengin atılmasaydı Gaziantep maçı ilk yarıda maç döner Tabii zor Ama şunu söylemek lazım Fenerli oyuncuların yaşadığı ağır stres dayanılacak olabildiğince iyi mücadele edip maç Mesela ilk yarı orta saha adeta yok Gazianteplilerin inanılmaz rahat kontratağa çıkmalarının nedeni orta sahanın böyle yetersiz Semih günden güne geriye Hep söylüyoruz Gökhan iyi hücum beki haftalar defans zaafiyeti ortaya maçın kırılma Kerim gösterilen sarı kartta hakem Kamil Abitoğlu Çok tartışılan ikinci sarı karta gelince hamlesi net bir şekilde aşil tendonuna dolayısıyla karar Kamil Abitoğlu maçı genelde iyi yönetti karşılaşmanın hemen başında vermesi gereken sarı kartı Ayrıca futbolcularla fazla konuşuyor olması kendisi adına bir eksi Şubat tarihinde yenildiği günden yana Saracoğlu çıktığı lig maçında galibiyet beraberlik ,AHMET ÇAKAR
10,Yetki devri Federasyonu Yönetim bütün cezai yaptırımların hukuki kurullarına devredildiğini Yani şike dosyasıyla ilgili sadece kişilerin kulüplerin cezalarını PFDK Bu değişikliği şunu soruyorum Niye Görünen TFF topu sürekli başkalarına madde düzenlemesinde topu Genel atmaları son derece Belli onları futbolunu maddeyi değiştirmek için Genel cezalar için sistemi disiplin kurulu üzerine naklen yayın konularında Lig mahkum olacaklarsa zaman onları Oraya bir sekretarya şeyi onlar oynanırken kural açıklamasıyla değişiklik usul yönünden olsa bağdaşıyor Sadece Hani kulüplere verilecek ceza sezon sonu Ama göreceksiniz bakın öncesi kulüplere ceza vermeye gücü yetecek taşın altına elini koymak böylesine tarihi kararlarda zorlanabileceğini Aslında örneklere baktığımızda cezayı vermesi yanlış değil durum vahimleştikten sonra erkin federasyon tarafından devredilmesi ,AHMET ÇAKAR
